text,rt,key_press,block_duration,timing_post_trial,trial_id,trial_type,trial_index,time_elapsed,internal_node_id,exp_id,full_screen,focus_shifts,view_history,mouse_click,stim_duration,exp_stage,stim,coded_response,trial_num,reference,stim_rating,reference_rating,responses,credit_var,subject
,1057.0,,1057.0,500.0,stim,single-stim-button,108,318563,0.0-108.0,dietary_decision,True,0,,Yes,1057.0,decision,Doritosranch,1.0,2.0,orangejello,"{""health"":0,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,806.0,,806.0,500.0,stim,single-stim-button,109,319881,0.0-109.0,dietary_decision,True,0,,Yes,806.0,decision,icecreamsandwich,1.0,3.0,orangejello,"{""health"":-2,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,1252.0,,1252.0,500.0,stim,single-stim-button,110,321636,0.0-110.0,dietary_decision,True,0,,Neutral,1252.0,decision,banana,0.0,4.0,orangejello,"{""health"":2,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,3343.0,,3343.0,500.0,stim,single-stim-button,111,325494,0.0-111.0,dietary_decision,True,0,,Yes,3343.0,decision,slimfastC,1.0,5.0,orangejello,"{""health"":0,""taste"":1}","{""health"":-1,""taste"":1}",,,5
,1934.0,,1934.0,500.0,stim,single-stim-button,112,327938,0.0-112.0,dietary_decision,True,0,,No,1934.0,decision,laysclassic,-1.0,6.0,orangejello,"{""health"":-2,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,1463.0,,1463.0,500.0,stim,single-stim-button,113,329904,0.0-113.0,dietary_decision,True,0,,No,1463.0,decision,grannysmith,-1.0,7.0,orangejello,"{""health"":2,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,1959.0,,1959.0,500.0,stim,single-stim-button,114,332365,0.0-114.0,dietary_decision,True,0,,Strong_Yes,1959.0,decision,100Grand,2.0,8.0,orangejello,"{""health"":-1,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,1452.0,,1452.0,500.0,stim,single-stim-button,115,334330,0.0-115.0,dietary_decision,True,0,,No,1452.0,decision,brocollincauliflower,-1.0,9.0,orangejello,"{""health"":0,""taste"":-1}","{""health"":-1,""taste"":1}",,,5
,1200.0,,1200.0,500.0,stim,single-stim-button,116,336041,0.0-116.0,dietary_decision,True,0,,Yes,1200.0,decision,MrsFields,1.0,10.0,orangejello,"{""health"":-1,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,1683.0,,1683.0,500.0,stim,single-stim-button,117,338240,0.0-117.0,dietary_decision,True,0,,Neutral,1683.0,decision,whitegrapes,0.0,11.0,orangejello,"{""health"":1,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,1447.0,,1447.0,500.0,stim,single-stim-button,118,340195,0.0-118.0,dietary_decision,True,0,,Strong_Yes,1447.0,decision,cookiencream,2.0,12.0,orangejello,"{""health"":-1,""taste"":2}","{""health"":-1,""taste"":1}",,,5
,1349.0,,1349.0,500.0,stim,single-stim-button,119,342058,0.0-119.0,dietary_decision,True,0,,Yes,1349.0,decision,strussel,1.0,13.0,orangejello,"{""health"":-1,""taste"":1}","{""health"":-1,""taste"":1}",,,5
,1934.0,,1934.0,500.0,stim,single-stim-button,120,344499,0.0-120.0,dietary_decision,True,0,,Neutral,1934.0,decision,orange,0.0,14.0,orangejello,"{""health"":2,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,1431.0,,1431.0,500.0,stim,single-stim-button,121,346444,0.0-121.0,dietary_decision,True,0,,Strong_Yes,1431.0,decision,KitKat,2.0,15.0,orangejello,"{""health"":-1,""taste"":1}","{""health"":-1,""taste"":1}",,,5
,1412.0,,1412.0,500.0,stim,single-stim-button,122,348364,0.0-122.0,dietary_decision,True,0,,Neutral,1412.0,decision,ffraspsorbet,0.0,16.0,orangejello,"{""health"":1,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,1617.0,,1617.0,500.0,stim,single-stim-button,123,350495,0.0-123.0,dietary_decision,True,0,,Strong_Yes,1617.0,decision,Ghiradelli,2.0,17.0,orangejello,"{""health"":0,""taste"":1}","{""health"":-1,""taste"":1}",,,5
,1636.0,,1636.0,500.0,stim,single-stim-button,124,352646,0.0-124.0,dietary_decision,True,0,,No,1636.0,decision,RiceKrispyTreat,-1.0,18.0,orangejello,"{""health"":-1,""taste"":0}","{""health"":-1,""taste"":1}",,,5
,1574.0,,1574.0,500.0,stim,single-stim-button,125,354734,0.0-125.0,dietary_decision,True,0,,No,1574.0,decision,wheatcrisps,-1.0,19.0,orangejello,"{""health"":""NaN"",""taste"":0}","{""health"":-1,""taste"":1}",,,5
